Date,Domestic LCC RPMs,Total Domestic RPMs
1/1990,1611684110,24921146709
2/1990,1603851967,24152394822
3/1990,1883493126,29054866556
4/1990,1785499535,27357814120
5/1990,1829884206,27244714210
6/1990,1912337719,29687458974
7/1990,2003428218,31044167247
8/1990,2224459450,32992769267
9/1990,1711887124,25637152291
10/1990,1848939361,27673993840
11/1990,1803627248,26090813815
12/1990,1765480075,26524031592
1/1991,1743949186,24690833884
2/1991,1846326851,22851870317
3/1991,2289694528,26633757227
4/1991,2035614834,26917855651
5/1991,2184120065,27273086713
6/1991,2257521567,29182022519
7/1991,2417257039,31052764465
8/1991,2451081006,32395472916
9/1991,1921195341,25260960319
10/1991,2030725221,27158445643
11/1991,1889443560,24605413752
12/1991,2128428939,27653975126
1/1992,1893053187,24021004108
2/1992,1829534435,23326779448
3/1992,2176370490,27389658761
4/1992,2141533192,25852648048
5/1992,2152282937,27258591732
6/1992,2261560050,31836055586
7/1992,2464583827,35204370003
8/1992,2546431694,36614174771
9/1992,1972859908,28178458289
10/1992,2090123120,27509739465
11/1992,2053624880,25825131955
12/1992,2083595486,27145930397
1/1993,2043450516,25234474049
2/1993,2018392533,23965076246
3/1993,2456966083,28764925057
4/1993,2399753039,28422646950
5/1993,2378418942,29107190528
6/1993,2546949705,30726258470
7/1993,2721261756,32610470971
8/1993,2771217228,33636627803
9/1993,2336762271,27820604777
10/1993,2588381342,29723757136
11/1993,2460440409,27824122071
12/1993,2516850459,28716483543
1/1994,2442271151,26317443145
2/1994,2389580331,25354141710
3/1994,2924831530,31672227550
4/1994,2746839259,29886266290
5/1994,2841075341,30882570308
6/1994,3175871122,32963571373
7/1994,3353813911,35381417794
8/1994,3305727688,35939215163
9/1994,2720706775,29868823812
10/1994,3115927266,31905312180
11/1994,3031334973,30436999626
12/1994,3154670059,31351837548
1/1995,2935812610,29094628725
2/1995,2933824114,27406413484
3/1995,3678876618,33352725130
4/1995,3603127592,32084120312
5/1995,3585497872,32129398658
6/1995,3888321386,34557614090
7/1995,4104140897,35792693856
8/1995,4192621835,36827822646
9/1995,3368684376,30034697460
10/1995,3592493667,32435394324
11/1995,3567602660,31034412162
12/1995,3759428506,31907694014
1/1996,3356149642,29541157118
2/1996,3681269655,30531763599
3/1996,4639729040,36448878709
4/1996,4261669243,34353641115
5/1996,4219301034,35063744052
6/1996,4264445398,37125647880
7/1996,4350068896,38865568593
8/1996,4547178012,40030116067
9/1996,3985062718,32059400145
10/1996,4332429669,35079764444
11/1996,3776051331,31495946126
12/1996,4217430216,35506390664
1/1997,3834402604,32390056922
2/1997,3641165684,31031126559
3/1997,4543433037,38703387091
4/1997,4136281932,35806638683
5/1997,4319051439,36507036667
6/1997,4650322895,38967953883
7/1997,4907605320,41238202793
8/1997,5110219727,41709514211
9/1997,4042304388,33524366111
10/1997,4491280920,36208244990
11/1997,4258304140,33830480412
12/1997,4433129341,36114880123
