date,actual_deaths,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper
2020-02-05,0,101,50,150,101,50,150
2020-02-06,0,101,50,150,201,99,300
2020-02-07,0,101,50,150,302,150,450
2020-02-08,0,101,50,150,403,199,600
2020-02-09,0,243,114,386,646,332,968
2020-02-10,0,243,114,386,890,452,1348
2020-02-11,0,243,114,386,1133,570,1730
2020-02-12,0,243,114,386,1376,687,2113
2020-02-13,0,387,190,610,1763,899,2701
2020-02-14,0,542,284,835,2306,1190,3530
2020-02-15,0,739,417,1100,3045,1629,4608
2020-02-16,0,1383,783,1898,4428,2517,6494
2020-02-17,0,2189,1360,3001,6617,3966,9417
2020-02-18,0,2521,1569,3492,9138,5564,12882
2020-02-19,0,3006,1947,4075,12144,7543,16924
2020-02-20,0,3111,2017,4215,15154,9513,20982
2020-02-21,0,3537,2293,4723,18590,11775,25532
2020-02-22,0,4444,2929,5905,22934,14685,31252
2020-02-23,0,5276,3531,6944,28109,18224,38002
2020-02-24,0,6310,4261,8392,34176,22423,45972
2020-02-25,0,9469,6166,12418,43402,28547,57798
2020-02-26,0,11315,7550,14905,54473,36002,72248
2020-02-27,0,12235,8105,16242,66465,43990,88052
2020-02-28,0,14488,9585,19409,80565,53369,106785
2020-02-29,1,17127,11057,23335,97150,64118,129164
2020-03-01,0,21826,13892,30172,118237,77614,158067
2020-03-02,5,26878,17062,37446,143732,93953,193485
2020-03-03,1,32574,20622,45569,174117,113283,235953
2020-03-04,4,39086,24407,54999,210682,136184,287370
2020-03-05,1,47910,29675,67336,255586,163985,350560
2020-03-06,2,57787,35241,81842,310262,197317,428135
2020-03-07,3,69099,42036,98129,375824,237151,521519
2020-03-08,4,81830,50255,116246,453209,284515,631901
2020-03-09,1,96089,59922,138112,544022,340907,763139
2020-03-10,6,112218,71529,162279,649930,408126,917122
2020-03-11,5,128520,83276,183859,768981,485268,1088529
2020-03-12,10,144660,97045,199318,902326,574700,1273002
2020-03-13,9,160266,107229,215821,1050357,673742,1472575
2020-03-14,6,174657,122772,227933,1210526,786837,1680928
2020-03-15,12,187979,135349,251389,1381378,911094,1908930
2020-03-16,27,199818,147166,260418,1559370,1044493,2139016
2020-03-17,34,210206,155211,272448,1742697,1182924,2373907
2020-03-18,57,219272,164493,286187,1929395,1327183,2614417
2020-03-19,76,227125,171565,296670,2117434,1474662,2855939
2020-03-20,97,233959,178877,304228,2303483,1624246,3092633
2020-03-21,94,239802,186085,310735,2485499,1775630,3321356
2020-03-22,145,244706,190925,315886,2661106,1924928,3538946
2020-03-23,183,248763,194721,321617,2828040,2069771,3744237
2020-03-24,237,252032,197962,323449,2983983,2208026,3929538
2020-03-25,312,254584,200492,325508,3126349,2336996,4092755
2020-03-26,413,256458,203120,327309,3254287,2456694,4236263
2020-03-27,552,257681,204875,326903,3367308,2564376,4363802
2020-03-28,634,258284,206010,326073,3465326,2662809,4473989
