date,rpms
1/1990,24921146709
2/1990,24152394822
3/1990,29054866556
4/1990,27357814120
5/1990,27244714210
6/1990,29687458974
7/1990,31044167247
8/1990,32992769267
9/1990,25637152291
10/1990,27673993840
11/1990,26090813815
12/1990,26524031592
1/1991,24690833884
2/1991,22851870317
3/1991,26633757227
4/1991,26917855651
5/1991,27273086713
6/1991,29182022519
7/1991,31052764465
8/1991,32395472916
9/1991,25260960319
10/1991,27158445643
11/1991,24605413752
12/1991,27653975126
1/1992,24021004108
2/1992,23326779448
3/1992,27389658761
4/1992,25852648048
5/1992,27258591732
6/1992,31836055586
7/1992,35204370003
8/1992,36614174771
9/1992,28178458289
10/1992,27509739465
11/1992,25825131955
12/1992,27145930397
1/1993,25234474049
2/1993,23965076246
3/1993,28764925057
4/1993,28422646950
5/1993,29107190528
6/1993,30726258470
7/1993,32610470971
8/1993,33636627803
9/1993,27820604777
10/1993,29723757136
11/1993,27824122071
12/1993,28716483543
1/1994,26317443145
2/1994,25354141710
3/1994,31672227550
4/1994,29886266290
5/1994,30882570308
6/1994,32963571373
7/1994,35381417794
8/1994,35939215163
9/1994,29868823812
10/1994,31905312180
11/1994,30436999626
12/1994,31351837548
1/1995,29094628725
2/1995,27406413484
3/1995,33352725130
4/1995,32084120312
5/1995,32129398658
6/1995,34557614090
7/1995,35792693856
8/1995,36827822646
9/1995,30034697460
10/1995,32435394324
11/1995,31034412162
12/1995,31907694014
1/1996,29541157118
2/1996,30531763599
3/1996,36448878709
4/1996,34353641115
5/1996,35063744052
6/1996,37125647880
7/1996,38865568593
8/1996,40030116067
9/1996,32059400145
10/1996,35079764444
11/1996,31495946126
12/1996,35506390664
1/1997,32390056922
2/1997,31031126559
3/1997,38703387091
4/1997,35806638683
5/1997,36507036667
6/1997,38967953883
7/1997,41238202793
8/1997,41709514211
9/1997,33524366111
10/1997,36208244990
11/1997,33830480412
12/1997,36114880123
1/1998,32626673043
2/1998,31495956511
3/1998,38369577372
4/1998,37635712121
5/1998,37972337669
6/1998,40057089981
7/1998,42326920458
8/1998,41948660757
9/1998,34205093071
10/1998,37510023229
11/1998,35413662912
12/1998,37072453879
1/1999,33924134965
2/1999,32774995512
3/1999,40443770588
4/1999,39124594362
5/1999,38917416021
6/1999,41992871493
7/1999,45023803200
8/1999,44129765076
9/1999,36419975823
10/1999,40212679156
11/1999,38667547293
12/1999,37976916911
1/2000,34662955361
2/2000,35775532735
3/2000,43616754553
4/2000,41779554346
5/2000,42864606256
6/2000,45597468417
7/2000,47247342384
8/2000,46248004926
9/2000,38123712929
10/2000,41588848453
11/2000,40514376649
12/2000,39431366321
1/2001,36966493330
2/2001,35592936818
3/2001,43965366410
4/2001,42248311262
5/2001,42363342301
6/2001,45237041653
7/2001,47920709144
8/2001,48423014723
9/2001,26026300484
