id,Airline
20409,JetBlue Airways: B6
20416,Spirit Air Lines: NK
21610,Air Canada rouge LP: RV
21136,Flair Airlines Ltd.: 07Q
21231,Sunwing Airlines Inc.: WG
22067,SWOOP Inc.: WO
21351,Concesionaria Vuela Compania De Aviacion SA de CV (Volaris): Y4
21659,Air Busan: BX
21781,Eastar Jet Co Ltd.: ZE
21592,Jeju Air Co Ltd.: 7C
21416,Jin Air Co Ltd.: LJ
21821,Beijing Capital Airlines: JD
21657,Air Asia X Berhad dba Airasia X: D7
21728,Eurowings GmbH: EW
22030,French bee: BF
19464,Transavia Holland B. V.: HVQ
21823,Norwegian Air International Ltd.: D8
20176,National Airlines: N7
21579,Norwegian Air Shuttle ASA: DY
21924,Norwegian Air UK Limited: DI
21624,Jet2.com: LS
21670,Fast Colombia SAS d/b/a Viva Colombia: VH
19949,Lauda Air Luftfahrt Ag: NG
21342,"Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus: VB"
21578,ABC Aerolineas SA de CV dba Interjet: 4O
20422,Sun Country Airlines d/b/a MN Airlines: SY
20435,Frontier Airlines Inc. (1): FL (1)
20436,Frontier Airlines Inc.: F9
19389,Air Florida Inc.: QH
19393,Southwest Airlines Co.: WN
21177,"Skybus Airlines, Inc.: SX"
19810,Mid Pacific Airlines Inc.: MPA
19391,Pacific Southwest Airlines: PS (1)
19991,America West Airlines Inc.: HP (Merged with US Airways 9/05.Stopped reporting 10/07.)
20202,Chicago Express Airlines: C8 (1)
20312,ATA Airlines d/b/a ATA: TZ
20116,Canada 3000 Airlines Ltd.: 2T
20265,Freedom Airlines d/b/a HP Expr: F8
20404,Independence Air: DH
20294,Jetsgo: SG
20088,Tower Air Inc.: FF
20299,Southeast Airlines: JX
19049,Southeast Airlines Inc.: SLZ
20295,Midway Airlines Inc. (1): ML (1)
20099,Laker Airways Inc.: 6F
19858,Monarch Airlines: ZB
20031,People Express Airlines Inc.: PE (1)
21939,Primera Air Scandinavia: PF
20347,Pro Air Inc.: P9
21171,Virgin America: VX
20078,Western Pacific Airlines: W7
20354,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways: AJQ
19511,Sterling Airways A/S: NBQ
21860,Scoot Tigerair Pte Ltd d/b/a Scoot: TR
20243,Valujet Airlines Inc.: J7
20192,Vanguard Airlines Inc.: NJ
20049,Western Air Lines Inc.: WA (1)
21598,WOW Air ehf: WW
20368,Allegiant Air: G4
20437,AirTran Airways Corporation: FL
