date,actual_deaths,predicted_deaths_mean,predicted_new_infected_mean,predicted_current_infected_mean
7/1/2020,673.0,,433714,5410337
7/2/2020,698.0,,440650,5575896
7/3/2020,639.0,,446801,5734749
7/4/2020,247.0,,452181,5885958
7/5/2020,271.0,,456816,6028722
7/6/2020,325.0,,460737,6162379
7/7/2020,1195.0,,463982,6286420
7/8/2020,820.0,,466591,6400484
7/9/2020,990.0,,468603,6504345
7/10/2020,811.0,,470060,6597911
7/11/2020,676.0,,471004,6681207
7/12/2020,428.0,,471477,6754369
7/13/2020,361.0,,471517,6817624
7/14/2020,900.0,,471163,6871288
7/15/2020,949.0,,470449,6915744
7/16/2020,943.0,,469405,6951436
7/17/2020,908.0,,468059,6978846
7/18/2020,853.0,,466434,6998479
7/19/2020,415.0,,464550,7010848
7/20/2020,491.0,,462425,7016457
7/21/2020,1096.0,,460073,7015793
7/22/2020,1195.0,,457511,7009322
7/23/2020,1114.0,,454749,6997481
7/24/2020,1130.0,,451803,6980681
7/25/2020,905.0,,448682,6959303
7/26/2020,470.0,,445400,6933698
7/27/2020,483.0,,441966,6904187
7/28/2020,1362.0,,438392,6871062
7/29/2020,1448.0,,434688,6834587
7/30/2020,1233.0,,430864,6795001
7/31/2020,1259.0,,426930,6752526
8/1/2020,1133.0,,422895,6707361
8/2/2020,,1035.0,418769,6659696
8/3/2020,,1044.0,414562,6609708
8/4/2020,,1051.0,410282,6557565
8/5/2020,,1058.0,405938,6503429
8/6/2020,,1064.0,401538,6447457
8/7/2020,,1069.0,397091,6389798
8/8/2020,,1072.0,392605,6330601
8/9/2020,,1075.0,388088,6270007
8/10/2020,,1077.0,383547,6208154
8/11/2020,,1078.0,378989,6145177
8/12/2020,,1078.0,374419,6081204
8/13/2020,,1077.0,369845,6016361
8/14/2020,,1076.0,365271,5950767
8/15/2020,,1074.0,360701,5884538
8/16/2020,,1071.0,356140,5817783
8/17/2020,,1067.0,351591,5750605
8/18/2020,,1063.0,347059,5683102
8/19/2020,,1059.0,342545,5615365
8/20/2020,,1054.0,338052,5547479
8/21/2020,,1048.0,333583,5479524
8/22/2020,,1042.0,329140,5411573
8/23/2020,,1035.0,324725,5343692
8/24/2020,,1028.0,320654,5276259
8/25/2020,,1021.0,316608,5209319
8/26/2020,,1013.0,312600,5142931
8/27/2020,,1005.0,308648,5077160
8/28/2020,,996.0,304783,5012098
8/29/2020,,987.0,301037,4947864
8/30/2020,,978.0,297384,4884547
8/31/2020,,969.0,293806,4822213
9/1/2020,,960.0,290303,4760925
9/2/2020,,950.0,286876,4700743
9/3/2020,,940.0,283535,4641733
9/4/2020,,930.0,280281,4583962
9/5/2020,,920.0,277107,4527487
9/6/2020,,910.0,274011,4472358
9/7/2020,,900.0,270992,4418625
9/8/2020,,889.0,268051,4366021
9/9/2020,,879.0,265189,4314603
9/10/2020,,869.0,262405,4264408
9/11/2020,,858.0,259699,4215458
9/12/2020,,848.0,257068,4167742
9/13/2020,,837.0,254512,4121218
9/14/2020,,827.0,252033,4075867
9/15/2020,,817.0,249628,4031689
9/16/2020,,806.0,247299,3988685
9/17/2020,,796.0,245044,3946853
9/18/2020,,786.0,242863,3906181
9/19/2020,,776.0,240756,3866656
9/20/2020,,767.0,238722,3828271
9/21/2020,,757.0,236762,3791021
9/22/2020,,748.0,234875,3754904
9/23/2020,,738.0,233060,3719914
9/24/2020,,729.0,231319,3686044
9/25/2020,,720.0,229650,3653289
9/26/2020,,711.0,228054,3621645
9/27/2020,,703.0,226531,3591109
9/28/2020,,694.0,225080,3561677
9/29/2020,,686.0,223701,3533345
9/30/2020,,678.0,222391,3506108
10/1/2020,,670.0,221149,3479958
10/2/2020,,663.0,219973,3454887
10/3/2020,,655.0,218863,3430887
10/4/2020,,648.0,217820,3407951
10/5/2020,,641.0,216840,3386070
10/6/2020,,634.0,215922,3365230
10/7/2020,,627.0,215065,3345421
10/8/2020,,621.0,214267,3326627
10/9/2020,,614.0,213526,3308834
10/10/2020,,608.0,212843,3292026
10/11/2020,,602.0,212214,3276186
10/12/2020,,596.0,211638,3261293
10/13/2020,,591.0,211113,3247325
10/14/2020,,585.0,210638,3234263
10/15/2020,,580.0,210213,3222084
10/16/2020,,575.0,209834,3210768
10/17/2020,,570.0,209500,3200296
10/18/2020,,565.0,209211,3190643
10/19/2020,,561.0,208964,3181788
10/20/2020,,556.0,208759,3173707
10/21/2020,,552.0,208594,3166379
10/22/2020,,548.0,208468,3159782
10/23/2020,,544.0,208380,3153895
10/24/2020,,540.0,208326,3148695
10/25/2020,,537.0,208307,3144159
10/26/2020,,534.0,208321,3140266
10/27/2020,,530.0,208365,3136993
10/28/2020,,527.0,208439,3134319
10/29/2020,,524.0,208542,3132222
10/30/2020,,522.0,208670,3130680
10/31/2020,,519.0,208825,3129671
