Date,Cases,Deaths
1/22/2020,1.0,0
1/23/2020,0.0,0
1/24/2020,1.0,0
1/25/2020,0.0,0
1/26/2020,3.0,0
1/27/2020,0.0,0
1/28/2020,0.0,0
1/29/2020,0.0,0
1/30/2020,0.0,0
1/31/2020,2.0,0
2/01/2020,1.0,0
2/02/2020,0.0,0
2/03/2020,3.0,0
2/04/2020,0.0,0
2/05/2020,0.0,0
2/06/2020,0.0,0
2/07/2020,0.0,0
2/08/2020,0.0,0
2/09/2020,0.0,0
2/10/2020,0.0,0
2/11/2020,1.0,0
2/12/2020,0.0,0
2/13/2020,1.0,0
2/14/2020,0.0,0
2/15/2020,0.0,0
2/16/2020,0.0,0
2/17/2020,0.0,0
2/18/2020,0.0,0
2/19/2020,0.0,0
2/20/2020,0.0,0
2/21/2020,2.0,0
2/22/2020,0.0,0
2/23/2020,0.0,0
2/24/2020,0.0,0
2/25/2020,0.0,0
2/26/2020,0.0,0
2/27/2020,1.0,0
2/28/2020,0.0,0
2/29/2020,8.0,0
3/01/2020,6.0,1
3/02/2020,23.0,1
3/03/2020,25.0,4
3/04/2020,20.0,3
3/05/2020,66.0,2
3/06/2020,47.0,1
3/07/2020,64.0,2
3/08/2020,147.0,3
3/09/2020,225.0,4
3/10/2020,290.0,5
3/11/2020,278.0,2
3/12/2020,414.0,2
3/13/2020,267.0,10
3/14/2020,338.0,7
3/15/2020,1237.0,10
3/16/2020,755.0,12
3/17/2020,2797.0,16
3/18/2020,3419.0,23
3/19/2020,4777.0,42
3/20/2020,3528.0,0
3/21/2020,5836.0,110
3/22/2020,8821.0,80
3/23/2020,10934.0,131
3/24/2020,10115.0,119
3/25/2020,13987.0,211
3/26/2020,16916.0,249
3/27/2020,17965.0,246
3/28/2020,19332.0,411
3/29/2020,18251.0,484
3/30/2020,22635.0,318
3/31/2020,22562.0,661
4/01/2020,27043.0,909
4/02/2020,26135.0,1059
4/03/2020,34864.0,915
4/04/2020,30683.0,1104
4/05/2020,26065.0,1344
4/06/2020,43438.0,1146
4/07/2020,21597.0,1342
4/08/2020,31534.0,1906
4/09/2020,31705.0,1922
4/10/2020,33251.0,1873
4/11/2020,33288.0,2087
4/12/2020,29145.0,1831
4/13/2020,24156.0,1500
4/14/2020,26385.0,1541
4/15/2020,27158.0,2408
4/16/2020,29164.0,4928
4/17/2020,29002.0,2299
4/18/2020,29916.0,3770
4/19/2020,25995.0,1856
4/20/2020,29468.0,1772
4/21/2020,26490.0,1857
4/22/2020,25858.0,2524
4/23/2020,37144.0,1721
4/24/2020,29873.0,3179
4/25/2020,33161.0,1054
4/26/2020,29256.0,2172
4/27/2020,23371.0,1687
4/28/2020,23901.0,1369
4/29/2020,25512.0,2110
4/30/2020,31787.0,2611
5/01/2020,30369.0,2040
5/02/2020,29794.0,2062
5/03/2020,29763.0,1317
5/04/2020,19138.0,1297
5/05/2020,22303.0,1252
5/06/2020,23366.0,2144
5/07/2020,30861.0,2353
5/08/2020,25996.0,2239
5/09/2020,26660.0,1510
5/10/2020,23792.0,1614
5/11/2020,18106.0,734
5/12/2020,21467.0,1156
5/13/2020,20869.0,1703
5/14/2020,27191.0,1746
5/15/2020,22977.0,1773
5/16/2020,31967.0,1662
5/17/2020,13284.0,1186
5/18/2020,24481.0,808
5/19/2020,23405.0,791
5/20/2020,22860.0,1568
5/21/2020,20522.0,1518
5/22/2020,24268.0,1263
5/23/2020,26229.0,1305
5/24/2020,15342.0,1080
5/25/2020,24958.0,633
5/26/2020,16429.0,500
5/27/2020,19680.0,696
5/28/2020,21304.0,1526
5/29/2020,18123.0,1175
5/30/2020,23553.0,1219
5/31/2020,26177.0,945
6/01/2020,14790.0,602
6/02/2020,24955.0,764
6/03/2020,14676.0,1034
6/04/2020,20555.0,994
6/05/2020,29034.0,1036
6/06/2020,29214.0,932
6/07/2020,17919.0,659
6/08/2020,17598.0,712
6/09/2020,17376.0,493
6/10/2020,20486.0,999
6/11/2020,21744.0,918
6/12/2020,22317.0,896
6/13/2020,25468.0,849
6/14/2020,21957.0,767
6/15/2020,18577.0,296
6/16/2020,28392.0,395
6/17/2020,22834.0,836
6/18/2020,27828.0,754
6/19/2020,32218.0,717
6/20/2020,32411.0,678
6/21/2020,27616.0,607
6/22/2020,26657.0,256
6/23/2020,34313.0,427
6/24/2020,37667.0,826
6/25/2020,40588.0,751
6/26/2020,44602.0,2437
6/27/2020,44703.0,623
6/28/2020,41075.0,500
