Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1990,125833,125710,125801,125649,125893,125573,125732,125990,125892,125995,126070,126142
1991,125955,126020,126238,126548,126176,126331,126154,126150,126650,126642,126701,126664
1992,127261,127207,127604,127841,128119,128459,128563,128613,128501,128026,128441,128554
1993,128400,128458,128598,128584,129264,129411,129397,129619,129268,129573,129711,129941
1994,130596,130669,130400,130621,130779,130561,130652,131275,131421,131744,131891,131951
1995,132038,132115,132108,132590,131851,131949,132343,132336,132611,132716,132614,132511
1996,132616,132952,133180,133409,133667,133697,134284,134054,134515,134921,135007,135113
1997,135456,135400,135891,136016,136119,136211,136477,136618,136675,136633,136961,137155
1998,137095,137112,137236,137150,137372,137455,137588,137570,138286,138279,138381,138634
1999,139003,138967,138730,138959,139107,139329,139439,139430,139622,139771,140025,140177
2000,142267,142456,142434,142751,142388,142591,142278,142514,142518,142622,142962,143248
2001,143800,143701,143924,143569,143318,143357,143654,143284,143989,144086,144240,144305
2002,143883,144653,144481,144725,144938,144808,144803,145009,145552,145314,145041,145066
2003,145937,146100,146022,146474,146500,147056,146485,146445,146530,146716,147000,146729
2004,146842,146709,146944,146850,147065,147460,147692,147564,147415,147793,148162,148059
2005,148029,148364,148391,148926,149261,149238,149432,149779,149954,150001,150065,150030
2006,150214,150641,150813,150881,151069,151354,151377,151716,151662,152041,152406,152732
2007,153144,152983,153051,152435,152670,153041,153054,152749,153414,153183,153835,153918
2008,154063,153653,153908,153769,154303,154313,154469,154641,154570,154876,154639,154655
2009,154210,154538,154133,154509,154747,154716,154502,154307,153827,153784,153878,153111
2010,153484,153694,153954,154622,154091,153616,153691,154086,153975,153635,154125,153650
2011,153263,153214,153376,153543,153479,153346,153288,153760,154131,153961,154128,153995
2012,154381,154671,154749,154545,154866,155083,154948,154763,155160,155554,155338,155628
2013,155763,155312,155005,155394,155536,155749,155599,155605,155687,154673,155265,155182
2014,155352,155483,156028,155369,155684,155707,156007,156130,156040,156417,156494,156332
2015,157030,156644,156643,157060,157651,157062,156997,157172,156733,157167,157463,158035
2016,158342,158653,159103,158981,158787,158973,159123,159579,159817,159734,159551,159710
2017,159647,159767,160066,160309,160060,160232,160339,160690,161212,160378,160510,160538
2018,161068,161783,161684,161742,161874,162269,162173,161768,162078,162605,162662,163111
2019,163142,163047,162935,162546,162782,163133,163373,163894,164051,164401,164347,164556
2020,164606,164546,162913,156481,158227,,,,,,,
