"PASSENGERS","DISTANCE","AIRLINE_ID","YEAR","MONTH",
0.00,260.00,20374,1997,1,
0.00,725.00,20436,1997,1,
0.00,896.00,19977,1997,1,
0.00,45.00,20374,1997,1,
0.00,228.00,20374,1997,1,
0.00,297.00,20374,1997,1,
0.00,87.00,20374,1997,1,
0.00,124.00,20374,1997,1,
0.00,251.00,19977,1997,1,
0.00,424.00,19977,1997,1,
0.00,508.00,19977,1997,1,
0.00,1018.00,19977,1997,1,
0.00,119.00,20374,1997,1,
0.00,38.00,19687,1997,1,
0.00,880.00,19393,1997,1,
0.00,673.00,19393,1997,1,
0.00,2759.00,20193,1997,1,
0.00,3416.00,19977,1997,1,
0.00,3385.00,20193,1997,1,
0.00,2015.00,19977,1997,1,
0.00,2978.00,20422,1997,1,
0.00,576.00,19704,1997,1,
0.00,594.00,20147,1997,1,
0.00,403.00,19977,1997,1,
0.00,1993.00,19977,1997,1,
0.00,709.00,19704,1997,1,
0.00,70.00,19704,1997,1,
0.00,50.00,19790,1997,1,
0.00,254.00,19790,1997,1,
0.00,261.00,20374,1997,1,
0.00,80.00,19977,1997,1,
0.00,1648.00,20173,1997,1,
0.00,317.00,19704,1997,1,
0.00,47.00,20374,1997,1,
0.00,2470.00,19805,1997,1,
0.00,66.00,19977,1997,1,
0.00,1666.00,20173,1997,1,
0.00,109.00,20374,1997,1,
0.00,321.00,19704,1997,1,
0.00,186.00,19977,1997,1,
0.00,664.00,19977,1997,1,
0.00,753.00,19704,1997,1,
0.00,631.00,19704,1997,1,
0.00,876.00,19704,1997,1,
0.00,271.00,19393,1997,1,
0.00,344.00,19977,1997,1,
0.00,1795.00,19704,1997,1,
0.00,1237.00,20297,1997,1,
0.00,187.00,19977,1997,1,
0.00,185.00,19704,1997,1,
0.00,1121.00,20297,1997,1,
0.00,1282.00,19977,1997,1,
0.00,1197.00,20297,1997,1,
0.00,1423.00,19704,1997,1,
0.00,264.00,19704,1997,1,
0.00,264.00,19977,1997,1,
0.00,1648.00,20173,1997,1,
0.00,1793.00,20400,1997,1,
0.00,1442.00,20173,1997,1,
0.00,980.00,20173,1997,1,
0.00,1175.00,20400,1997,1,
0.00,308.00,19704,1997,1,
0.00,253.00,19704,1997,1,
0.00,2383.00,19977,1997,1,
0.00,153.00,20374,1997,1,
0.00,153.00,19977,1997,1,
0.00,175.00,20374,1997,1,
0.00,251.00,19386,1997,1,
0.00,813.00,19977,1997,1,
