Months_After_9/11,jan,feb,mar,apr,may,jun,jul,aug,sept,oct,nov,dec,Gulf_War_Recession,Leap_Feb,Great_Recession,Thanksgiving_n,Thanksgiving_d,Unemployement,Labor_Force,RPMs,Date,CPG,9/11,Avg,Avgd,MSC
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.4,125893.0,27244714210,5/1990,0.52,0.0,0.0,0.0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.2,125573.0,29687458974,6/1990,0.49,0.0,0.0,0.0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.5,125732.0,31044167247,7/1990,0.54,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5.7,125990.0,32992769267,8/1990,0.79,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5.9,125892.0,25637152291,9/1990,1.01,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5.9,125995.0,27673993840,10/1990,1.2,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,6.2,126070.0,26090813815,11/1990,0.97,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.3,126142.0,26524031592,12/1990,0.8,0.0,0.0,0.0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.4,125955.0,24690833884,1/1991,0.74,0.0,0.0,0.0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.6,126020.0,22851870317,2/1991,0.64,0.0,0.0,0.0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.8,126238.0,26633757227,3/1991,0.56,0.0,0.0,0.0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,126548.0,26917855651,4/1991,0.55,0.0,0.0,0.0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.9,126176.0,27273086713,5/1991,0.57,0.0,0.0,0.0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.9,126331.0,29182022519,6/1991,0.55,0.0,0.0,0.0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.8,126154.0,31052764465,7/1991,0.59,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.9,126150.0,32395472916,8/1991,0.62,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.9,126650.0,25260960319,9/1991,0.64,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.0,126642.0,27158445643,10/1991,0.67,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7.0,126701.0,24605413752,11/1991,0.65,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.3,126664.0,27653975126,12/1991,0.52,0.0,0.0,0.0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,127261.0,24021004108,1/1992,0.51,0.0,0.0,0.0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.4,127207.0,23326779448,2/1992,0.54,0.0,0.0,0.0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,127604.0,27389658761,3/1992,0.51,0.0,0.0,0.0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,127841.0,25852648048,4/1992,0.54,0.0,0.0,0.0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.6,128119.0,27258591732,5/1992,0.58,0.0,0.0,0.0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.8,128459.0,31836055586,6/1992,0.62,0.0,0.0,0.0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.7,128563.0,35204370003,7/1992,0.61,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.6,128613.0,36614174771,8/1992,0.59,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.6,128501.0,28178458289,9/1992,0.62,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.3,128026.0,27509739465,10/1992,0.62,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,7.4,128441.0,25825131955,11/1992,0.56,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.4,128554.0,27145930397,12/1992,0.54,0.0,0.0,0.0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,128400.0,25234474049,1/1993,0.53,0.0,0.0,0.0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,128458.0,23965076246,2/1993,0.55,0.0,0.0,0.0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,128598.0,28764925057,3/1993,0.56,0.0,0.0,0.0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,128584.0,28422646950,4/1993,0.55,0.0,0.0,0.0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.1,129264.0,29107190528,5/1993,0.55,0.0,0.0,0.0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.0,129411.0,30726258470,6/1993,0.53,0.0,0.0,0.0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.9,129397.0,32610470971,7/1993,0.49,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.8,129619.0,33636627803,8/1993,0.5,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.7,129268.0,27820604777,9/1993,0.54,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.8,129573.0,29723757136,10/1993,0.57,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6.6,129711.0,27824122071,11/1993,0.53,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.5,129941.0,28716483543,12/1993,0.45,0.0,0.0,0.0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,130596.0,26317443145,1/1994,0.53,0.0,0.0,0.0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,130669.0,25354141710,2/1994,0.5,0.0,0.0,0.0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,130400.0,31672227550,3/1994,0.45,0.0,0.0,0.0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,130621.0,29886266290,4/1994,0.47,0.0,0.0,0.0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.1,130779.0,30882570308,5/1994,0.47,0.0,0.0,0.0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.1,130561.0,32963571373,6/1994,0.49,0.0,0.0,0.0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.1,130652.0,35381417794,7/1994,0.51,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.0,131275.0,35939215163,8/1994,0.5,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.9,131421.0,29868823812,9/1994,0.49,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.8,131744.0,31905312180,10/1994,0.51,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5.6,131891.0,30436999626,11/1994,0.51,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.5,131951.0,31351837548,12/1994,0.49,0.0,0.0,0.0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,132038.0,29094628725,1/1995,0.47,0.0,0.0,0.0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,132115.0,27406413484,2/1995,0.47,0.0,0.0,0.0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,132108.0,33352725130,3/1995,0.45,0.0,0.0,0.0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,132590.0,32084120312,4/1995,0.5,0.0,0.0,0.0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.6,131851.0,32129398658,5/1995,0.51,0.0,0.0,0.0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.6,131949.0,34557614090,6/1995,0.48,0.0,0.0,0.0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.7,132343.0,35792693856,7/1995,0.47,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.7,132336.0,36827822646,8/1995,0.5,0.0,0.0,0.0,0
