"PASSENGERS","DISTANCE","AIRLINE_ID","YEAR","MONTH",
0.00,225.00,19386,1994,1,
0.00,373.00,19977,1994,1,
0.00,596.00,19805,1994,1,
0.00,587.00,19393,1994,1,
0.00,623.00,19393,1994,1,
0.00,920.00,19393,1994,1,
0.00,756.00,19393,1994,1,
0.00,1067.00,19393,1994,1,
0.00,1246.00,19393,1994,1,
0.00,793.00,19393,1994,1,
0.00,1468.00,19393,1994,1,
0.00,1200.00,19393,1994,1,
0.00,879.00,19393,1994,1,
0.00,1356.00,19393,1994,1,
0.00,1182.00,19393,1994,1,
0.00,1476.00,19393,1994,1,
0.00,1450.00,19393,1994,1,
0.00,1442.00,19393,1994,1,
0.00,546.00,19393,1994,1,
0.00,64.00,19977,1994,1,
0.00,796.00,19805,1994,1,
0.00,30.00,19704,1994,1,
0.00,1487.00,19805,1994,1,
0.00,1012.00,19704,1994,1,
0.00,2265.00,19704,1994,1,
0.00,2403.00,20002,1994,1,
0.00,1503.00,19704,1994,1,
0.00,849.00,20046,1994,1,
0.00,881.00,19977,1994,1,
0.00,1504.00,19704,1994,1,
0.00,1504.00,19977,1994,1,
0.00,1562.00,19386,1994,1,
0.00,1217.00,19386,1994,1,
0.00,1172.00,19790,1994,1,
0.00,1235.00,19977,1994,1,
0.00,304.00,19393,1994,1,
0.00,309.00,19704,1994,1,
0.00,1456.00,19977,1994,1,
0.00,1021.00,19977,1994,1,
0.00,1539.00,19977,1994,1,
0.00,424.00,19977,1994,1,
0.00,548.00,19977,1994,1,
0.00,240.00,20355,1994,1,
0.00,1969.00,19393,1994,1,
0.00,1146.00,19977,1994,1,
0.00,1276.00,19393,1994,1,
0.00,229.00,19704,1994,1,
0.00,982.00,19393,1994,1,
0.00,1455.00,19393,1994,1,
0.00,1369.00,19393,1994,1,
0.00,231.00,19393,1994,1,
0.00,501.00,19977,1994,1,
0.00,706.00,19393,1994,1,
0.00,528.00,19704,1994,1,
0.00,235.00,19704,1994,1,
0.00,1903.00,19393,1994,1,
0.00,1957.00,19393,1994,1,
0.00,1215.00,19393,1994,1,
0.00,2013.00,19393,1994,1,
0.00,706.00,19977,1994,1,
0.00,357.00,19393,1994,1,
0.00,1148.00,19393,1994,1,
0.00,1167.00,19393,1994,1,
0.00,1509.00,19704,1994,1,
0.00,1509.00,19393,1994,1,
0.00,1428.00,19393,1994,1,
0.00,653.00,19393,1994,1,
0.00,1250.00,19393,1994,1,
0.00,714.00,19952,1994,1,
0.00,842.00,19393,1994,1,
0.00,834.00,19393,1994,1,
0.00,1237.00,19393,1994,1,
0.00,670.00,19393,1994,1,
0.00,981.00,19393,1994,1,
0.00,122.00,19977,1994,1,
0.00,1720.00,19977,1994,1,
0.00,576.00,20355,1994,1,
0.00,663.00,20355,1994,1,
0.00,200.00,19991,1994,1,
0.00,1372.00,19704,1994,1,
0.00,1065.00,19704,1994,1,
0.00,1234.00,19704,1994,1,
0.00,1093.00,19977,1994,1,
0.00,1086.00,19704,1994,1,
0.00,1167.00,19704,1994,1,
0.00,1133.00,19704,1994,1,
0.00,1024.00,19704,1994,1,
0.00,2433.00,19704,1994,1,
0.00,2133.00,20088,1994,1,
0.00,2401.00,19805,1994,1,
0.00,872.00,19977,1994,1,
0.00,2474.00,19930,1994,1,
0.00,2785.00,19977,1994,1,
0.00,1108.00,19704,1994,1,
0.00,1065.00,19704,1994,1,
0.00,1005.00,19977,1994,1,
0.00,2693.00,19977,1994,1,
0.00,1074.00,19386,1994,1,
0.00,656.00,19977,1994,1,
0.00,445.00,19977,1994,1,
0.00,1324.00,19977,1994,1,
0.00,2154.00,19977,1994,1,
0.00,224.00,19704,1994,1,
0.00,224.00,19977,1994,1,
0.00,78.00,20033,1994,1,
0.00,408.00,19977,1994,1,
0.00,477.00,19386,1994,1,
0.00,216.00,19977,1994,1,
0.00,730.00,19704,1994,1,
0.00,3053.00,20017,1994,1,
0.00,712.00,19977,1994,1,
0.00,2762.00,19704,1994,1,
0.00,2556.00,20173,1994,1,
0.00,2974.00,19977,1994,1,
0.00,1624.00,19393,1994,1,
0.00,80.00,19977,1994,1,
0.00,45.00,19977,1994,1,
0.00,807.00,19393,1994,1,
0.00,1369.00,19393,1994,1,
0.00,1236.00,19393,1994,1,
0.00,1349.00,19393,1994,1,
0.00,1211.00,19393,1994,1,
0.00,37.00,19704,1994,1,
0.00,521.00,19393,1994,1,
0.00,993.00,19393,1994,1,
0.00,1257.00,19393,1994,1,
0.00,233.00,20263,1994,1,
0.00,1644.00,19393,1994,1,
0.00,961.00,19704,1994,1,
0.00,961.00,19393,1994,1,
0.00,659.00,19977,1994,1,
0.00,1464.00,19386,1994,1,
0.00,213.00,20355,1994,1,
0.00,0.00,19977,1994,1,
0.00,94.00,20355,1994,1,
0.00,742.00,19977,1994,1,
0.00,1362.00,19704,1994,1,
0.00,696.00,19977,1994,1,
0.00,744.00,19393,1994,1,
0.00,519.00,19393,1994,1,
0.00,1281.00,19704,1994,1,
0.00,1235.00,19704,1994,1,
0.00,1638.00,20019,1994,3,
0.00,406.00,19704,1994,3,
0.00,412.00,19393,1994,3,
0.00,681.00,19393,1994,3,
0.00,753.00,19393,1994,3,
0.00,1237.00,19393,1994,3,
0.00,175.00,19393,1994,3,
0.00,916.00,19393,1994,3,
0.00,442.00,19393,1994,3,
0.00,967.00,19393,1994,3,
0.00,446.00,19704,1994,3,
0.00,1193.00,19393,1994,3,
0.00,70.00,19393,1994,3,
0.00,873.00,19393,1994,3,
0.00,1475.00,19393,1994,3,
0.00,80.00,20393,1994,3,
0.00,48.00,19977,1994,3,
0.00,101.00,20393,1994,3,
0.00,382.00,19790,1994,3,
0.00,1138.00,19393,1994,3,
0.00,862.00,19393,1994,3,
0.00,604.00,19393,1994,3,
0.00,753.00,19393,1994,3,
0.00,587.00,19393,1994,3,
0.00,667.00,19386,1994,3,
0.00,826.00,19393,1994,3,
0.00,1618.00,19393,1994,3,
0.00,868.00,19393,1994,3,
0.00,324.00,19393,1994,3,
0.00,906.00,19393,1994,3,
0.00,594.00,19393,1994,3,
0.00,854.00,19386,1994,3,
0.00,854.00,19977,1994,3,
0.00,2004.00,19393,1994,3,
0.00,631.00,19393,1994,3,
0.00,1871.00,19393,1994,3,
0.00,1759.00,19393,1994,3,
0.00,744.00,19393,1994,3,
0.00,2013.00,19393,1994,3,
0.00,410.00,19393,1994,3,
0.00,549.00,19393,1994,3,
0.00,934.00,19977,1994,3,
0.00,1422.00,19386,1994,3,
0.00,1123.00,19393,1994,3,
0.00,825.00,19386,1994,3,
0.00,847.00,19393,1994,3,
0.00,753.00,19393,1994,3,
0.00,1790.00,19393,1994,3,
0.00,448.00,19393,1994,3,
0.00,338.00,19393,1994,3,
0.00,857.00,19393,1994,3,
0.00,623.00,19393,1994,3,
0.00,941.00,19393,1994,3,
0.00,604.00,19977,1994,3,
0.00,249.00,19393,1994,3,
0.00,1588.00,19393,1994,3,
0.00,876.00,19393,1994,3,
0.00,612.00,19977,1994,3,
0.00,1815.00,19393,1994,3,
0.00,1751.00,19393,1994,3,
0.00,1968.00,19393,1994,3,
0.00,481.00,19790,1994,3,
0.00,515.00,19393,1994,3,
0.00,2197.00,19977,1994,3,
0.00,520.00,19977,1994,3,
0.00,1049.00,19977,1994,3,
0.00,2071.00,19790,1994,3,
0.00,1974.00,19704,1994,3,
0.00,1562.00,19704,1994,3,
0.00,200.00,19977,1994,3,
0.00,1505.00,19704,1994,3,
0.00,1282.00,19704,1994,3,
0.00,1442.00,20173,1994,3,
0.00,50.00,19952,1994,3,
0.00,1511.00,19704,1994,3,
0.00,1391.00,19704,1994,3,
0.00,26.00,20263,1994,3,
0.00,1006.00,19704,1994,3,
0.00,693.00,19790,1994,3,
0.00,65.00,19704,1994,3,
0.00,788.00,19386,1994,3,
0.00,712.00,19704,1994,3,
0.00,771.00,19386,1994,3,
0.00,240.00,19704,1994,3,
0.00,1281.00,19704,1994,3,
0.00,451.00,19977,1994,3,
0.00,874.00,19704,1994,3,
0.00,1596.00,19704,1994,3,
0.00,1097.00,19704,1994,3,
0.00,1093.00,19977,1994,3,
0.00,1237.00,19393,1994,3,
0.00,1810.00,19393,1994,3,
0.00,1790.00,19393,1994,3,
0.00,2320.00,19393,1994,3,
0.00,1243.00,19393,1994,3,
0.00,1389.00,19393,1994,3,
0.00,1805.00,19393,1994,3,
0.00,1488.00,19393,1994,3,
0.00,949.00,19393,1994,3,
0.00,1740.00,19393,1994,3,
0.00,1181.00,19393,1994,3,
0.00,1276.00,19393,1994,3,
0.00,1670.00,19393,1994,3,
0.00,682.00,19393,1994,3,
0.00,587.00,19977,1994,3,
0.00,1209.00,19393,1994,3,
0.00,910.00,19977,1994,3,
0.00,515.00,19393,1994,3,
0.00,2329.00,19790,1994,3,
0.00,2329.00,19393,1994,3,
0.00,185.00,20393,1994,3,
0.00,1070.00,19977,1994,3,
0.00,967.00,19704,1994,3,
0.00,967.00,19991,1994,3,
0.00,2446.00,19393,1994,3,
0.00,2283.00,19386,1994,3,
0.00,2295.00,19393,1994,3,
0.00,1407.00,19393,1994,3,
0.00,2395.00,19393,1994,3,
0.00,737.00,19977,1994,3,
0.00,126.00,19704,1994,3,
0.00,1163.00,19704,1994,3,
0.00,1773.00,19790,1994,3,
0.00,3831.00,19977,1994,3,
0.00,1246.00,19393,1994,3,
0.00,1624.00,19393,1994,3,
0.00,1403.00,19977,1994,3,
0.00,45.00,19977,1994,3,
0.00,1021.00,19977,1994,3,
0.00,107.00,19393,1994,3,
0.00,461.00,19704,1994,3,
0.00,1369.00,19393,1994,3,
